tx_id,client_id,merchant_id,amount,hour,country,channel,distance_km,account_age_days,is_fraud,client_tx_freq
71,955,296,62.95,5,AR,pos,6.88,386,0,0.5
72,228,337,22.73,17,BR,app,13.71,142,0,0.4
73,556,168,273.51,0,BR,app,6.59,1294,0,0.4
74,156,547,48.47,22,MX,online,5.77,954,0,0.4
75,824,407,86.33,18,BR,online,4.07,1317,0,0.1
76,571,523,225.19,9,BR,pos,10.31,365,0,0.7
77,396,77,59.98,16,BR,pos,4.05,1270,0,0.2
78,273,570,260.6,3,BR,pos,5.48,119,0,0.2
79,677,145,75.77,10,US,app,17.62,1316,0,0.3
80,804,314,67.64,2,BR,online,31.71,1484,0,0.3
81,1128,308,47.17,2,US,online,11.28,463,0,0.5
82,525,574,76.38,0,BR,app,18.09,600,0,0.2
83,193,194,204.2,19,MX,app,6.04,795,0,0.3
84,999,169,86.34,17,BR,online,6.72,1057,0,0.3
85,756,238,274.28,21,PT,online,9.5,965,0,0.3
86,840,253,138.0,23,PT,online,4.53,191,1,0.6
87,117,127,147.41,23,BR,pos,5.7,691,0,0.3
88,375,124,65.76,23,US,pos,13.38,923,0,0.3
89,921,162,302.39,0,BR,online,8.32,1120,1,0.2
90,998,327,231.13,18,MX,online,7.29,1153,0,0.2
91,522,241,226.59,17,US,pos,7.02,1215,0,0.6
92,965,275,118.13,3,BR,pos,3.26,821,0,0.4
93,1010,503,41.48,3,BR,pos,9.24,917,0,0.3
94,465,169,153.43,23,BR,online,4.54,616,0,0.1
95,1077,637,198.06,21,MX,online,1.68,496,0,0.2
96,346,526,199.48,7,MX,online,2.84,568,0,0.6
97,288,123,180.68,1,BR,app,7.12,800,0,0.4
98,819,220,175.28,8,BR,online,12.61,200,0,0.3
99,764,129,75.44,0,BR,pos,15.03,399,0,0.4
100,168,191,78.74,16,BR,pos,2.22,212,0,0.6
101,999,256,47.63,9,BR,app,11.73,746,0,0.3
102,240,92,276.46,1,BR,online,25.55,905,0,0.4
103,966,11,458.35,23,PT,online,15.56,298,0,0.4
104,9,307,755.52,19,BR,pos,8.97,254,0,0.3
105,956,490,161.46,21,AR,online,9.53,959,0,0.2
106,944,212,175.6,23,BR,pos,8.78,408,0,0.3
107,936,602,121.91,0,BR,online,5.36,1584,0,0.5
108,798,259,159.59,18,BR,app,16.09,301,0,0.1
109,566,630,59.76,18,BR,pos,3.53,879,0,0.2
110,846,165,119.96,18,BR,online,9.33,1464,0,0.3
111,333,377,68.14,6,ES,pos,1.65,190,0,0.2
112,937,534,107.93,9,MX,pos,17.11,821,0,0.2
113,667,42,73.44,22,AR,pos,9.05,861,0,0.4
114,551,651,198.14,1,BR,online,2.06,1008,0,0.2
115,607,256,216.13,15,BR,online,21.13,1616,1,0.1
116,682,349,171.68,19,BR,pos,7.55,1064,0,0.3
117,45,440,79.03,19,PT,online,2.56,688,0,0.3
118,168,450,44.41,14,MX,app,27.08,724,0,0.6
119,295,17,217.85,18,BR,online,6.6,1139,0,0.4
120,138,607,137.43,21,ES,pos,4.14,545,0,0.2
121,528,436,21.61,18,BR,online,9.67,1249,0,0.4
122,802,699,152.48,2,BR,pos,2.87,698,0,0.3
123,785,330,176.56,5,BR,online,5.36,110,0,0.4
124,565,429,30.74,7,BR,online,19.48,976,0,0.1
125,1026,309,200.6,8,ES,online,6.73,459,0,0.5
126,678,622,36.08,8,MX,pos,11.24,655,0,0.5
127,95,582,71.72,5,BR,online,20.07,591,0,0.1
128,918,636,36.33,16,BR,pos,6.57,250,0,0.2
129,689,353,65.19,2,BR,online,3.98,528,0,0.3
130,762,554,44.79,18,BR,pos,12.78,1667,0,0.3
131,678,251,275.26,15,BR,pos,2.46,585,0,0.5
132,664,323,113.13,23,BR,online,3.6,1336,0,0.7
133,109,532,94.63,0,BR,online,2.0,746,0,0.5
134,671,57,293.21,7,BR,online,19.1,121,0,0.2
135,954,497,283.03,21,BR,pos,8.54,1528,0,0.3
136,365,12,100.97,11,PT,app,13.13,1652,0,0.2
137,723,406,169.24,13,BR,online,3.82,430,0,0.1
138,37,334,84.34,0,BR,pos,10.91,311,0,0.3
139,417,328,127.08,18,BR,pos,11.19,1698,0,0.3
140,524,346,53.01,6,US,pos,26.99,179,0,0.4
141,1179,344,187.53,23,BR,pos,12.34,1622,1,0.1
142,258,285,301.1,8,BR,app,15.01,316,0,0.4
143,332,316,265.87,4,AR,pos,9.06,1581,1,0.2
144,490,398,142.35,14,AR,pos,0.37,1702,0,0.6
145,1191,534,19.17,11,BR,online,10.21,438,0,0.2
146,1024,386,81.06,11,BR,pos,7.08,404,0,0.5
147,42,450,126.96,22,ES,app,6.81,194,0,0.2
148,281,585,39.19,8,BR,app,5.57,1436,0,0.3
149,986,692,32.54,9,BR,online,6.81,638,0,0.4
150,70,76,357.96,14,BR,pos,4.72,1173,0,0.3
151,1026,499,244.84,4,BR,online,14.02,1121,0,0.5
152,338,158,198.02,19,US,pos,3.31,946,0,0.3
153,1101,138,225.48,5,US,online,24.64,443,0,0.2
154,353,555,46.26,5,BR,pos,13.19,667,0,0.2
155,521,49,63.23,0,BR,online,16.68,914,0,0.6
156,794,593,161.82,8,BR,online,3.53,170,0,0.2
157,152,539,171.25,13,AR,online,5.25,737,0,0.2
158,668,696,36.86,16,BR,online,8.79,1297,0,0.2
159,606,467,153.46,21,BR,online,8.15,770,0,0.4
160,940,611,128.77,18,US,pos,13.22,721,0,0.2
161,1195,83,260.08,7,BR,pos,8.18,1533,0,0.2
162,797,623,171.87,19,BR,pos,25.53,976,0,0.2
163,491,113,385.46,4,BR,pos,3.6,1345,0,0.3
164,488,220,101.43,5,AR,online,2.95,95,0,0.3
165,502,90,49.35,8,BR,pos,5.03,1694,0,0.6
166,977,281,378.71,12,AR,pos,6.82,1416,0,0.2
167,386,524,178.45,4,AR,online,17.7,1509,0,0.3
168,201,188,129.35,21,US,pos,10.7,1263,0,0.2
169,401,575,65.41,6,BR,pos,0.5,982,0,0.6
170,28,424,102.4,9,MX,pos,0.58,966,0,0.4
171,128,440,98.05,14,BR,pos,7.33,1140,0,0.5
172,108,657,47.26,10,PT,online,5.75,906,0,0.6
173,926,302,12.58,9,US,pos,7.5,1331,0,0.5
174,867,241,96.16,23,BR,online,6.82,615,0,0.2
175,836,696,229.51,10,MX,app,23.07,1404,0,0.2
176,554,390,318.54,2,BR,online,15.89,625,0,0.5
177,860,430,267.07,17,BR,pos,5.26,868,0,0.3
178,194,208,277.73,16,BR,pos,8.06,125,0,0.3
179,1080,151,52.82,5,BR,online,6.38,1643,0,0.1
180,601,119,164.08,20,AR,online,0.97,1253,0,0.4
181,1125,157,199.12,9,PT,online,5.47,456,0,0.3
182,183,137,208.22,3,BR,pos,5.53,83,0,0.2
183,597,522,127.14,4,US,app,4.56,1555,0,0.3
184,835,41,149.6,17,US,online,5.34,3,0,0.1
185,595,440,261.67,5,US,pos,6.49,880,0,0.3
186,535,664,194.04,11,BR,app,11.34,57,0,0.3
187,200,536,220.06,17,BR,pos,4.88,1265,0,0.2
188,457,282,92.54,20,AR,pos,19.53,372,0,0.2
189,287,42,212.03,11,BR,online,3.57,780,0,0.2
190,362,584,148.12,21,BR,online,17.3,1041,0,0.8
191,820,3,243.82,7,BR,online,10.06,676,0,0.3
192,756,477,75.42,20,BR,online,2.71,1243,0,0.3
193,729,469,230.3,6,BR,pos,6.35,927,0,0.3
194,434,135,103.54,1,BR,pos,23.66,768,0,0.6
195,1151,518,231.03,17,US,online,3.63,588,0,0.7
196,106,123,164.86,18,ES,app,24.11,746,0,0.2
197,411,158,140.07,22,BR,online,11.57,586,0,0.8
198,142,568,108.13,22,BR,online,10.18,1053,0,0.3
199,407,685,129.78,2,MX,app,11.09,1395,0,0.3
200,1154,186,96.35,14,BR,app,6.22,1089,0,0.6
201,440,645,106.33,16,ES,pos,3.77,59,0,0.5
202,1090,639,190.35,14,BR,online,8.34,1542,1,0.2
203,594,538,25.97,0,BR,online,10.46,1434,1,0.2
204,839,98,228.84,1,BR,online,11.96,1495,0,0.4
205,549,210,231.52,16,BR,pos,11.62,91,0,0.2
206,319,474,110.75,20,AR,online,13.82,1503,0,0.2
207,917,699,152.53,4,BR,pos,30.4,853,0,0.4
208,1163,570,59.28,1,MX,online,9.81,1540,1,0.5
209,316,294,181.63,9,AR,pos,18.84,1426,0,0.2
210,934,165,66.23,7,MX,online,12.28,1605,0,0.5
211,314,672,3.67,23,PT,pos,32.55,223,0,0.1
212,860,194,310.37,22,BR,pos,8.79,1013,0,0.3
213,947,240,53.32,13,BR,app,8.07,1329,0,0.1
214,539,675,127.64,22,MX,app,18.04,1086,0,0.5
215,884,393,156.85,5,BR,pos,18.06,1481,0,0.4
216,327,185,190.05,23,BR,online,6.64,1327,0,0.1
217,96,4,136.46,10,BR,app,11.96,66,0,0.3
218,116,301,167.15,11,BR,app,13.92,363,0,0.2
219,536,690,108.68,1,PT,app,13.37,1158,0,0.4
220,1083,303,31.56,4,BR,pos,11.1,658,0,0.7
221,153,489,132.48,4,US,online,1.51,651,0,0.6
222,547,177,208.89,11,ES,pos,13.51,1665,0,0.5
223,845,543,56.44,4,BR,online,13.95,164,1,0.2
224,243,543,158.05,2,AR,online,11.43,954,0,0.7
225,866,426,436.63,14,BR,online,6.07,569,0,0.5
226,367,540,125.89,20,BR,pos,22.09,95,0,0.4
227,970,405,130.93,1,BR,online,3.71,684,1,0.5
228,695,265,28.8,13,BR,pos,18.28,740,0,0.4
229,656,516,50.34,23,BR,pos,3.67,830,0,0.4
230,212,584,66.88,9,BR,pos,16.76,294,0,0.7
231,556,588,203.17,4,BR,online,3.82,1329,0,0.4
232,1028,149,60.07,1,BR,app,16.1,650,0,0.3
233,24,473,178.93,22,US,online,25.43,1046,0,0.2
234,910,4,72.42,9,BR,online,25.5,995,0,0.3
235,591,400,30.06,2,MX,pos,21.83,1030,0,0.3
236,863,400,220.88,20,PT,online,8.75,922,0,0.5
237,796,255,98.93,19,AR,pos,5.26,550,0,0.4
238,519,695,191.06,16,BR,online,7.71,895,0,0.2
239,371,618,28.93,2,US,app,17.35,968,1,0.2
240,753,28,10.84,1,US,online,13.36,34,1,0.2
241,169,146,147.15,5,PT,app,34.5,1321,0,0.3
242,701,146,48.63,3,ES,pos,5.71,812,0,0.4
243,114,628,145.58,12,BR,online,26.6,534,0,0.6
244,780,363,147.95,9,BR,pos,8.19,53,0,0.3
245,754,510,134.16,18,MX,online,3.65,556,0,0.2
246,102,567,276.23,2,BR,app,10.83,739,0,0.5
247,909,537,176.66,17,BR,pos,13.12,1527,0,0.3
248,499,63,436.35,22,US,pos,20.49,1181,0,0.2
249,944,99,101.13,3,AR,online,5.69,764,0,0.3
250,50,277,40.05,15,BR,app,10.83,230,0,0.5
251,216,237,76.74,12,BR,pos,8.86,502,0,0.3
252,593,523,106.09,2,BR,pos,6.62,1673,0,0.4
253,226,110,460.72,7,BR,online,24.8,234,0,0.4
254,396,260,140.05,18,PT,online,13.25,1151,0,0.2
255,793,166,283.29,20,PT,pos,0.85,944,0,0.2
256,174,132,94.38,8,BR,pos,10.96,397,0,0.1
257,813,121,85.11,2,BR,pos,1.93,1594,0,0.5
258,124,137,27.62,5,AR,pos,10.17,719,0,0.5
259,211,395,451.02,20,AR,pos,2.29,1207,0,0.2
260,705,287,348.46,13,BR,pos,13.3,177,0,0.2
261,952,305,159.26,10,BR,pos,1.9,1762,0,0.3
262,205,336,111.17,0,BR,online,3.84,41,0,0.3
263,360,519,144.13,18,AR,app,15.47,567,0,0.3
264,1110,603,38.41,11,BR,online,8.75,1671,0,0.3
265,1187,368,190.8,13,BR,pos,2.52,1164,0,0.2
266,697,449,329.35,20,PT,app,23.76,1232,0,0.5
267,536,517,340.54,13,US,pos,6.31,574,0,0.4
268,416,483,28.95,22,PT,online,7.19,1423,0,0.4
269,735,94,281.5,13,BR,pos,7.71,1700,0,0.3
270,709,688,38.68,8,BR,online,14.08,1135,0,0.3
271,354,116,12.0,22,PT,online,6.71,399,0,0.4
272,28,288,288.77,15,ES,pos,7.95,1654,0,0.4
273,182,457,88.16,18,ES,pos,19.15,8,0,0.4
274,1150,282,261.47,5,MX,online,17.55,1635,0,0.4
275,502,170,245.56,16,BR,app,7.58,18,0,0.6
276,579,646,224.26,13,BR,online,7.78,107,0,0.3
277,561,50,142.79,2,BR,app,0.47,77,0,0.4
278,939,172,43.23,6,PT,pos,10.04,346,0,0.3
279,78,695,106.28,21,BR,app,15.88,1327,0,0.1
280,100,511,344.36,13,AR,pos,6.43,722,0,0.2
281,331,61,266.14,18,PT,app,21.42,145,1,0.1
282,584,528,110.83,4,ES,pos,1.67,623,0,0.2
283,805,678,109.73,5,ES,online,4.09,1820,0,0.3
284,589,69,210.37,22,BR,online,20.29,959,0,0.3
285,529,290,150.72,10,BR,pos,15.45,1330,0,0.2
286,1125,328,115.48,21,ES,online,1.56,487,0,0.3
287,194,92,198.03,19,BR,app,1.92,951,0,0.3
288,686,141,193.34,8,BR,online,13.45,1455,0,0.3
289,651,122,78.59,22,ES,app,11.52,1231,0,0.3
290,568,130,173.68,18,US,pos,7.09,14,0,0.2
291,969,283,184.96,3,BR,pos,20.93,1108,0,0.3
292,321,325,134.64,2,BR,app,5.03,1444,0,0.4
293,1144,167,71.44,3,BR,online,0.91,247,0,0.1
294,398,203,103.61,17,ES,pos,14.08,718,0,0.1
295,654,135,59.07,3,BR,online,16.33,1177,0,0.4
296,625,557,177.15,6,BR,pos,5.28,10,0,0.5
297,1019,149,29.13,10,BR,pos,3.11,1297,0,0.4
298,527,635,368.3,3,PT,online,0.97,1546,0,0.2
299,342,377,319.0,7,PT,online,8.62,960,0,0.4
300,26,562,188.17,16,BR,online,11.11,815,0,0.3
301,437,445,255.49,23,BR,online,17.16,168,0,0.5
302,991,186,243.81,11,BR,pos,11.61,1322,0,0.4
303,12,421,152.47,17,BR,online,5.64,1721,0,0.3
304,1075,192,118.05,12,BR,app,10.04,1603,0,0.2
305,651,83,107.67,11,BR,app,17.76,1003,0,0.3
306,169,179,377.38,12,BR,app,11.0,63,0,0.3
307,363,193,69.18,23,BR,pos,16.03,522,0,0.4
308,665,95,70.4,1,BR,online,3.25,479,0,0.4
309,379,17,271.14,12,BR,pos,13.7,14,0,0.4
310,131,660,253.79,1,BR,pos,11.62,217,0,0.2
311,799,359,112.66,21,AR,app,6.66,1049,0,0.3
312,807,282,202.82,14,BR,online,17.99,179,0,0.3
313,143,651,222.05,1,BR,online,30.15,71,0,0.6
314,338,158,41.13,14,ES,app,1.5,1725,0,0.3
315,293,282,332.92,10,BR,pos,6.92,1104,0,0.8
316,791,592,221.99,1,PT,online,8.15,1470,0,0.2
317,876,442,190.69,23,BR,pos,8.63,454,1,0.4
318,872,280,223.21,9,AR,online,5.13,666,0,0.3
319,1126,179,174.48,0,BR,pos,1.84,1114,0,0.2
320,922,25,128.74,14,BR,online,7.21,1254,0,0.3
321,385,60,153.49,9,MX,online,8.2,672,0,0.9
322,130,114,37.41,15,MX,online,6.73,1678,0,0.1
323,737,550,477.99,3,BR,online,8.35,1284,0,0.4
324,1099,447,127.07,19,AR,pos,10.22,403,0,0.2
325,1170,303,472.64,10,BR,online,7.43,180,0,0.5
326,277,548,155.44,10,PT,pos,5.08,26,0,0.3
327,284,113,84.44,19,MX,pos,8.39,1541,0,0.5
328,45,148,326.51,13,BR,pos,10.8,1504,0,0.3
329,170,275,185.18,0,PT,pos,8.96,874,0,0.2
330,666,642,592.03,13,ES,online,31.48,1319,0,0.5
331,656,430,82.62,15,AR,online,11.37,1612,0,0.4
332,445,595,335.74,7,BR,pos,8.66,293,0,0.5
333,372,174,347.75,4,MX,app,4.47,1789,0,0.1
334,995,594,235.12,1,US,app,4.56,894,0,0.2
335,552,51,349.69,20,BR,app,6.74,800,0,0.2
336,970,160,129.35,0,PT,pos,6.91,293,0,0.5
337,1155,366,68.87,14,BR,app,6.7,1227,0,0.7
338,381,36,90.97,20,MX,online,11.73,1100,0,0.4
339,244,600,147.52,8,US,pos,17.59,55,0,0.3
340,1143,607,243.61,4,BR,app,14.11,1182,0,0.7
341,762,379,73.22,17,ES,pos,12.98,258,0,0.3
342,349,214,107.75,15,BR,online,4.05,505,0,0.2
343,746,70,78.45,0,BR,online,19.39,1116,0,0.4
344,618,433,274.18,13,BR,online,4.39,1425,0,0.4
345,1086,376,470.19,0,BR,online,10.61,245,1,0.2
346,307,532,58.74,9,US,pos,12.42,864,0,0.2
347,1189,422,209.67,7,BR,pos,19.78,520,0,0.1
348,1123,90,297.97,20,PT,online,27.79,1289,0,1.0
349,217,86,120.62,23,ES,pos,6.52,1511,0,0.3
350,198,546,39.52,16,AR,online,9.97,1168,1,0.3
351,640,112,324.46,17,BR,pos,18.57,1451,0,0.3
352,54,657,37.03,0,AR,online,29.37,823,0,0.3
353,359,75,389.77,1,BR,pos,7.09,1091,0,0.4
354,522,510,77.02,18,MX,pos,4.23,534,0,0.6
355,1163,682,31.56,10,BR,pos,2.51,1803,0,0.5
356,1190,309,96.72,12,PT,pos,1.58,373,0,0.5
357,182,40,138.74,16,BR,online,4.87,1681,1,0.4
358,1070,613,161.64,8,BR,pos,16.14,1361,0,0.3
359,110,131,222.24,16,ES,online,16.79,1801,0,0.4
360,898,369,172.59,17,BR,pos,11.37,1171,0,0.3
361,1014,689,445.12,5,MX,pos,6.84,643,1,0.3
362,1069,521,133.78,16,PT,pos,11.75,513,0,0.2
363,268,33,179.37,4,BR,app,9.07,328,0,0.1
364,1072,574,168.55,7,BR,online,7.1,1764,0,0.2
365,140,113,27.6,18,BR,pos,10.99,195,0,0.1
366,623,524,48.91,23,MX,online,6.61,1479,0,0.4
367,563,435,147.98,1,ES,pos,10.95,1275,0,0.6
368,379,202,195.46,15,BR,pos,12.23,232,0,0.4
369,27,297,16.77,13,AR,pos,14.4,1671,0,0.2
370,926,83,458.66,14,BR,app,1.92,297,0,0.5
371,403,690,206.89,18,BR,pos,19.57,294,0,0.2
372,794,167,141.73,1,MX,online,8.19,993,0,0.2
373,492,216,200.14,17,PT,app,27.99,189,0,0.4
374,449,352,92.19,6,BR,app,16.22,187,0,0.3
375,1063,470,162.95,3,BR,online,4.34,1139,0,0.3
376,114,354,182.54,10,BR,online,13.13,1759,0,0.6
377,884,354,327.04,0,BR,online,18.62,98,0,0.4
378,896,408,124.69,15,BR,pos,7.38,1164,0,0.4
379,456,600,38.09,13,PT,app,4.06,1098,0,0.2
380,315,277,67.27,12,BR,pos,3.48,121,0,0.1
381,7,582,116.95,0,BR,online,2.44,273,0,0.4
382,1124,551,42.53,18,AR,online,1.04,809,0,0.4
383,1137,672,60.83,0,BR,pos,8.32,1265,0,0.3
384,289,639,67.83,6,BR,online,3.65,405,0,0.5
385,39,558,110.77,9,PT,online,5.29,792,0,0.4
386,148,173,204.98,16,BR,online,28.43,895,0,0.2
387,82,542,106.61,9,BR,online,12.27,1299,0,0.3
388,997,515,214.94,19,BR,online,4.23,451,0,0.2
389,1070,203,141.83,22,BR,pos,37.2,1257,1,0.3
390,184,474,62.73,18,BR,online,10.89,1518,0,0.4
391,896,177,184.77,0,BR,online,35.08,1063,0,0.4
392,215,366,164.49,18,BR,pos,24.05,1316,0,0.1
393,441,557,218.97,4,PT,app,11.17,306,1,0.2
394,719,132,251.32,21,BR,pos,8.27,1654,0,0.2
395,864,236,334.01,23,BR,pos,15.99,550,0,0.3
396,1049,556,209.89,2,BR,pos,10.48,362,0,0.5
397,54,318,160.51,2,ES,pos,6.17,1001,0,0.3
398,236,672,219.68,16,BR,pos,5.87,703,0,0.2
399,337,6,98.25,3,PT,pos,17.77,842,0,0.7
400,373,505,92.35,23,BR,pos,4.22,1470,0,0.5
401,1197,570,364.91,12,ES,pos,17.6,978,1,0.3
402,933,642,90.12,13,BR,online,9.25,682,0,0.5
403,385,110,69.4,20,BR,online,2.01,1460,0,0.9
404,1166,688,209.81,5,BR,online,18.57,692,0,0.2
405,599,275,98.94,13,BR,online,4.32,1748,0,0.3
406,601,247,249.56,23,AR,pos,4.84,1799,1,0.4
407,521,249,317.59,0,US,pos,7.65,856,1,0.6
408,173,447,78.15,4,US,online,8.63,1407,0,0.5
409,1121,461,227.91,3,BR,online,11.22,1292,0,0.2
410,17,332,88.33,8,US,online,17.92,1571,0,0.2
411,209,50,118.93,3,BR,pos,17.52,842,0,0.2
412,276,690,178.69,4,ES,online,5.72,743,1,0.1
413,335,156,92.52,20,AR,online,5.88,505,0,0.1
414,159,66,167.14,11,BR,online,16.62,1069,1,0.5
415,22,418,126.73,8,MX,pos,3.67,1124,0,0.4
416,813,289,253.45,10,BR,online,9.25,822,0,0.5
417,1163,431,253.9,23,BR,pos,22.87,567,0,0.5
418,147,613,92.9,11,BR,pos,6.44,822,0,0.3
419,356,69,181.63,11,US,app,2.4,916,0,0.5
420,608,199,280.64,22,BR,pos,4.32,233,0,0.3
421,1113,362,59.92,0,BR,online,4.56,1205,1,0.5
422,833,551,126.12,11,MX,online,4.01,1537,0,0.1
423,919,420,175.95,17,BR,pos,7.37,588,0,0.3
424,697,268,57.6,12,US,online,34.63,713,1,0.5
425,501,427,102.13,20,BR,app,12.88,170,0,0.3
426,240,686,414.88,21,BR,pos,7.93,1062,0,0.4
427,1037,336,89.9,8,MX,online,8.47,780,0,0.2
428,965,618,98.25,19,BR,online,5.09,1564,0,0.4
429,31,546,208.18,5,US,app,8.44,1655,0,0.1
430,858,211,51.34,5,BR,app,22.2,1411,0,0.2
431,102,175,128.25,23,MX,app,9.48,384,0,0.5
432,887,539,69.99,0,BR,online,17.44,362,0,0.4
433,991,146,166.91,8,MX,pos,15.88,886,0,0.4
434,158,236,4.46,15,BR,online,33.59,1129,0,0.4
435,521,165,150.45,9,BR,online,15.68,58,0,0.6
436,149,424,179.48,20,BR,pos,32.08,905,0,0.4
437,681,206,104.26,6,BR,app,18.34,159,0,0.4
438,1113,461,109.55,13,BR,online,11.23,475,0,0.5
439,97,654,94.17,3,BR,pos,4.73,655,0,0.2
440,477,580,126.95,5,BR,online,17.37,75,0,0.4
441,1167,663,368.13,4,US,online,18.39,479,0,0.2
442,361,18,258.9,17,BR,online,18.73,1149,0,0.1
443,159,319,126.86,4,BR,app,0.4,1821,0,0.5
444,586,154,102.15,16,BR,online,6.31,1423,0,0.2
445,610,642,242.45,8,BR,pos,12.76,559,0,0.6
446,795,498,159.14,13,US,online,6.7,1718,0,0.3
447,377,224,56.29,20,PT,pos,5.84,803,0,0.2
448,1146,394,115.8,20,BR,online,5.07,648,0,0.3
449,625,424,342.48,0,US,online,2.07,1546,0,0.5
450,344,347,202.4,18,BR,pos,12.28,729,0,0.3
451,1152,332,103.05,22,ES,pos,5.51,1348,0,0.3
452,1109,39,35.44,16,BR,app,6.45,298,0,0.5
453,599,317,166.3,4,BR,online,7.93,607,0,0.3
454,30,244,142.41,15,BR,pos,13.73,1796,0,0.3
455,716,572,123.86,15,BR,app,11.01,445,0,0.1
456,666,605,244.32,15,MX,online,10.63,1550,1,0.5
457,178,525,204.17,10,BR,app,0.85,851,0,0.6
458,761,22,36.69,12,BR,app,17.67,1747,0,0.6
459,1009,589,143.01,15,BR,pos,26.87,759,0,0.3
460,127,278,46.38,11,ES,pos,10.42,904,0,0.4
461,868,292,95.46,18,AR,pos,3.55,720,0,0.5
462,169,661,43.11,17,PT,pos,5.97,383,0,0.3
463,898,607,44.64,7,MX,pos,3.7,1540,0,0.3
464,503,36,181.25,14,PT,app,24.78,1046,0,0.4
